date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,Hour,DayOfWeek,Month,Day,Week,Year,Weekend,Lag_1,Lag_2,Lag_6,Lag_12,Lag_24,Rolling_Mean_6,Rolling_Mean_12,Rolling_STD_6,Rolling_STD_12
2016-01-11 21:00:00,110,30,21.13333333,46.06,20.42666667,44.76,20.29,46.43333333,19.39,48.19333333,17.76,82.46,5.763333333,86.06333333,17.85666667,43.46,19.0,49.76,16.89,44.96666667,6.0,735.4,87.0,6.0,40.0,3.9,13.36103344,13.36103344,21,Monday,January,11,2,2016,0,110.0,110.0,80.0,430.0,60.0,130.0,122.5,31.622776601684134,50.65480323630809
2016-01-11 21:10:00,110,20,21.2,45.8,20.5,44.76,20.39,46.22333333,19.39,47.8,18.35666667,82.59,5.656666667,85.59,17.79,43.4,19.06666667,49.7,16.89,44.9,5.93,735.4666667,87.16666667,6.0,40.0,3.87,19.30570463,19.30570463,21,Monday,January,11,2,2016,0,110.0,110.0,140.0,250.0,60.0,125.0,110.83333333333333,32.09361307176278,30.883456393154518
2016-01-11 21:20:00,100,30,21.29,45.9,20.53333333,45.09,20.39,46.09,19.39,47.56,18.35666667,70.99,5.53,85.73,17.89,43.79,19.13333333,49.63333333,16.89,44.79,5.87,735.5333333,87.33333333,6.0,40.0,3.83,0.669516658,0.669516658,21,Monday,January,11,2,2016,0,110.0,110.0,120.0,100.0,50.0,121.66666666666667,110.83333333333333,33.71448748930777,30.883456393154518
2016-01-11 21:30:00,100,20,21.35666667,45.82666667,20.66666667,45.16333333,20.39,46.09,19.39,47.5,18.6,62.43,5.433333333,86.32666667,17.89,43.79,19.2,49.43333333,16.89,44.79,5.8,735.6,87.5,6.0,40.0,3.8,19.11939785,19.11939785,21,Monday,January,11,2,2016,0,100.0,110.0,190.0,100.0,50.0,106.66666666666667,110.83333333333333,5.163977794945823,30.883456393154518
2016-01-11 21:40:00,100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.42666667,47.99333333,18.66666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73,735.6666667,87.66666667,6.0,40.0,3.77,43.48454229,43.48454229,21,Monday,January,11,2,2016,0,100.0,100.0,110.0,90.0,60.0,105.0,111.66666666666667,5.477225575054148,30.401355631656003
2016-01-11 21:50:00,100,20,21.5,45.33333333,20.7,44.93333333,20.39,46.06,19.56666667,48.46666667,18.82333333,56.72666667,5.59,86.46666667,17.865,43.57,19.29,49.32666667,16.89,44.7,5.67,735.7333333,87.83333333,6.0,40.0,3.73,17.01744983,17.01744983,21,Monday,January,11,2,2016,0,100.0,100.0,110.0,70.0,50.0,103.33333333333333,114.16666666666667,5.163977794945898,27.784342658585512
2016-01-11 22:00:00,110,20,21.5,45.12666667,20.79,44.63333333,20.39,46.0,19.66666667,48.09333333,18.96333333,55.33333333,5.59,86.325,17.79,43.4,19.29,49.16333333,16.82333333,44.59,5.6,735.8,88.0,6.0,40.0,3.7,24.10400577,24.10400577,22,Monday,January,11,2,2016,0,100.0,100.0,110.0,80.0,60.0,103.33333333333333,116.66666666666667,5.163977794945898,25.702257889260594
2016-01-11 22:10:00,400,20,21.53333333,44.96666667,20.79,44.36,20.42666667,45.93333333,19.6,47.5,19.03333333,54.09333333,5.656666667,86.22666667,17.79,43.22333333,19.35666667,49.03,16.82333333,44.53,5.65,735.8833333,87.83333333,6.166666667,40.0,3.72,29.97829127,29.97829127,22,Monday,January,11,2,2016,0,110.0,100.0,110.0,140.0,60.0,151.66666666666666,138.33333333333334,121.72373091006816,86.0056375882982
2016-01-11 22:20:00,400,20,21.6,44.76666667,20.89,44.22333333,20.5,45.93333333,19.69666667,47.62666667,19.1,53.36666667,5.833333333,85.76666667,17.79,43.03,19.39,48.86333333,16.89,44.59,5.7,735.9666667,87.66666667,6.333333333,40.0,3.73,24.67706535,24.67706535,22,Monday,January,11,2,2016,0,400.0,110.0,100.0,120.0,60.0,201.66666666666666,161.66666666666666,153.67715076310685,114.00425297755208
2016-01-11 22:30:00,390,30,21.6,44.56,20.96333333,43.96333333,20.5,45.79,20.09666667,47.56666667,19.15833333,52.4725,5.9,85.03333333,17.79,42.76,19.39,48.86333333,16.89,44.5225,5.75,736.05,87.5,6.5,40.0,3.75,9.310880071,9.310880071,22,Monday,January,11,2,2016,0,400.0,400.0,100.0,190.0,70.0,250.0,178.33333333333334,160.74825037928093,131.7596526278286
2016-01-11 22:40:00,240,20,21.6,44.36,21.0,43.83333333,20.5,45.73,20.59666667,47.22333333,19.2,51.99,6.0,84.12666667,17.79,42.62666667,19.34,48.95,16.82333333,44.43333333,5.8,736.1333333,87.33333333,6.666666667,40.0,3.77,41.36866593,41.36866593,22,Monday,January,11,2,2016,0,390.0,400.0,100.0,110.0,230.0,273.3333333333333,189.16666666666666,143.89811210251042,130.97246992703418
2016-01-11 22:50:00,60,20,21.6,44.2,21.0,43.7,20.5,45.59,20.99666667,47.03,19.2225,51.52,6.0,84.06,17.7,42.62666667,19.29,49.23,16.89,44.5,5.85,736.2166667,87.16666667,6.833333333,40.0,3.78,33.42333691,33.42333691,22,Monday,January,11,2,2016,0,240.0,390.0,100.0,110.0,580.0,266.6666666666667,185.0,154.09953493332372,134.46865129768418
2016-01-11 23:00:00,60,20,21.6,44.2,21.0,43.59,20.4175,45.545,21.16666667,46.52666667,19.29,51.23,5.966666667,84.79,17.7,42.76,19.35666667,49.43,16.89,44.5,5.9,736.3,87.0,7.0,40.0,3.8,39.71199304,39.71199304,23,Monday,January,11,2,2016,0,60.0,240.0,110.0,110.0,430.0,258.3333333333333,180.83333333333334,165.21702898510995,137.73877339721628
